#Release 13.4 - par O.87xd (lin64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Tue Mar 12 19:24:08 2013

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc5vtx240t
#SPEED GRADE:      -2
#PACKAGE:          ff1759
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AC22,,,DXP_0,,,,,,,,,,,,
AC23,,,GND,,,,,,,,,,,,
AC24,,,VCCINT,,,,,,,,1.0,,,,
AC25,,,GND,,,,,,,,,,,,
AC26,,,VCCINT,,,,,,,,1.0,,,,
AC27,,,GND,,,,,,,,,,,,
AC28,,,VCCINT,,,,,,,,1.0,,,,
AC29,,,GND,,,,,,,,,,,,
AC30,,IOBS,IO_L8N_CC_SM1N_13,UNUSED,,13,,,,,,,,,
AC31,,IOBM,IO_L8P_CC_SM1P_13,UNUSED,,13,,,,,,,,,
AC32,,,VCCO_13,,,13,,,,,any******,,,,
AC33,,IOBS,IO_L2N_SM6N_13,UNUSED,,13,,,,,,,,,
AC34,,IOBS,IO_L0N_SM8N_13,UNUSED,,13,,,,,,,,,
AC35,,IOBM,IO_L0P_SM8P_13,UNUSED,,13,,,,,,,,,
AC36,,IOBM,IO_L15P_SM13P_11,UNUSED,,11,,,,,,,,,
AC37,,,GND,,,,,,,,,,,,
AC38,,,GND,,,,,,,,,,,,
AC39,,,GND,,,,,,,,,,,,
AC40,,,MGTAVTTRX_113,,,,,,,,,,,,
AC41,,OPAD,MGTTXN0_113,UNUSED,,,,,,,,,,,
AC42,,IPAD,MGTRXP0_113,UNUSED,,,,,,,,,,,
AD1,pcie_top_0_pci_exp_0_rxn_pin,IPAD,MGTRXN0_114,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
AD2,,,GND,,,,,,,,,,,,
AD3,,IPAD,MGTREFCLKN_114,UNUSED,,,,,,,,,,,
AD4,,IPAD,MGTREFCLKP_114,UNUSED,,,,,,,,,,,
AD5,,,GND,,,,,,,,,,,,
AD6,,IOBS,IO_L1N_14,UNUSED,,14,,,,,,,,,
AD7,,IOBM,IO_L1P_14,UNUSED,,14,,,,,,,,,
AD8,,IOBS,IO_L14N_VREF_12,UNUSED,,12,,,,,,,,,
AD9,,,VCCO_12,,,12,,,,,any******,,,,
AD10,,IOBM,IO_L17P_14,UNUSED,,14,,,,,,,,,
AD11,,IOBM,IO_L16P_12,UNUSED,,12,,,,,,,,,
AD12,,,GND,,,,,,,,,,,,
AD13,,,VCCAUX,,,,,,,,2.5,,,,
AD14,,,GND,,,,,,,,,,,,
AD15,,,VCCINT,,,,,,,,1.0,,,,
AD16,,,GND,,,,,,,,,,,,
AD17,,,VCCINT,,,,,,,,1.0,,,,
AD18,,,GND,,,,,,,,,,,,
AD19,,,VCCINT,,,,,,,,1.0,,,,
AD20,,,GND,,,,,,,,,,,,
AD21,,,VCCINT,,,,,,,,1.0,,,,
AD22,,,GND,,,,,,,,,,,,
AD23,,,VCCINT,,,,,,,,1.0,,,,
AD24,,,GND,,,,,,,,,,,,
AD25,,,VCCINT,,,,,,,,1.0,,,,
AD26,,,GND,,,,,,,,,,,,
AD27,,,VCCINT,,,,,,,,1.0,,,,
AD28,,,GND,,,,,,,,,,,,
AD29,,,VCCAUX,,,,,,,,2.5,,,,
AD30,,IOBS,IO_L16N_13,UNUSED,,13,,,,,,,,,
AD31,,IOBM,IO_L16P_13,UNUSED,,13,,,,,,,,,
AD32,,IOBM,IO_L15P_13,UNUSED,,13,,,,,,,,,
AD33,,IOBS,IO_L15N_13,UNUSED,,13,,,,,,,,,
AD34,,,GND,,,,,,,,,,,,
AD35,,IOBM,IO_L6P_SM3P_13,UNUSED,,13,,,,,,,,,
AD36,,IOBS,IO_L4N_VREF_13,UNUSED,,13,,,,,,,,,
AD37,,IOBM,IO_L4P_13,UNUSED,,13,,,,,,,,,
AD38,,,GND,,,,,,,,,,,,
AD39,,IPAD,MGTREFCLKP_113,UNUSED,,,,,,,,,,,
AD40,,IPAD,MGTREFCLKN_113,UNUSED,,,,,,,,,,,
AD41,,,GND,,,,,,,,,,,,
AD42,,IPAD,MGTRXN0_113,UNUSED,,,,,,,,,,,
AE1,pcie_top_0_pci_exp_1_rxn_pin,IPAD,MGTRXN1_114,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
AE2,,,GND,,,,,,,,,,,,
AE3,,,MGTAVCC_114,,,,,,,,,,,,
AE4,,,GND,,,,,,,,,,,,
AE5,,,GND,,,,,,,,,,,,
AE6,,,GND,,,,,,,,,,,,
AE7,,,VCCO_14,,,14,,,,,any******,,,,
AE8,,IOBM,IO_L3P_14,UNUSED,,14,,,,,,,,,
AE9,,IOBS,IO_L16N_14,UNUSED,,14,,,,,,,,,
AE10,,IOBS,IO_L17N_14,UNUSED,,14,,,,,,,,,
AE11,,,GND,,,,,,,,,,,,
AE12,,,VCCAUX,,,,,,,,2.5,,,,
AE13,,,GND,,,,,,,,,,,,
AE14,,,VCCINT,,,,,,,,1.0,,,,
AE15,,,GND,,,,,,,,,,,,
AE16,,,VCCINT,,,,,,,,1.0,,,,
AE17,,,GND,,,,,,,,,,,,
AE18,,,VCCINT,,,,,,,,1.0,,,,
AE19,,,GND,,,,,,,,,,,,
AE20,,,VCCINT,,,,,,,,1.0,,,,
AE21,,,GND,,,,,,,,,,,,
AE22,,,VCCINT,,,,,,,,1.0,,,,
AE23,,,GND,,,,,,,,,,,,
AE24,,,VCCINT,,,,,,,,1.0,,,,
AE25,,,GND,,,,,,,,,,,,
AE26,,,VCCINT,,,,,,,,1.0,,,,
AE27,,,GND,,,,,,,,,,,,
AE28,,,VCCINT,,,,,,,,1.0,,,,
AE29,,,GND,,,,,,,,,,,,
AE30,,,VCCAUX,,,,,,,,2.5,,,,
AE31,,,GND,,,,,,,,,,,,
AE32,,IOBS,IO_L12N_VRP_13,UNUSED,,13,,,,,,,,,
AE33,,IOBM,IO_L12P_VRN_13,UNUSED,,13,,,,,,,,,
AE34,,IOBS,IO_L10N_CC_13,UNUSED,,13,,,,,,,,,
AE35,,IOBS,IO_L6N_SM3N_13,UNUSED,,13,,,,,,,,,
AE36,,,VCCO_13,,,13,,,,,any******,,,,
AE37,,IOBS,IO_L11N_CC_13,UNUSED,,13,,,,,,,,,
AE38,,,GND,,,,,,,,,,,,
AE39,,,GND,,,,,,,,,,,,
AE40,,,MGTAVCC_113,,,,,,,,,,,,
AE41,,,GND,,,,,,,,,,,,
AE42,,IPAD,MGTRXN1_113,UNUSED,,,,,,,,,,,
AF1,pcie_top_0_pci_exp_1_rxp_pin,IPAD,MGTRXP1_114,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
AF2,pcie_top_0_pci_exp_1_txn_pin,OPAD,MGTTXN1_114,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
AF3,,,MGTAVCCPLL_114,,,,,,,,,,,,
AF4,,,GND,,,,,,,,,,,,
AF5,,IOBM,IO_L5P_14,UNUSED,,14,,,,,,,,,
AF6,,IOBS,IO_L5N_14,UNUSED,,14,,,,,,,,,
AF7,,IOBS,IO_L3N_14,UNUSED,,14,,,,,,,,,
AF8,,,GND,,,,,,,,,,,,
AF9,,IOBM,IO_L16P_14,UNUSED,,14,,,,,,,,,
AF10,,IOBM,IO_L8P_CC_14,UNUSED,,14,,,,,,,,,
AF11,,IOBM,IO_L2P_14,UNUSED,,14,,,,,,,,,
AF12,,IOBS,IO_L0N_14,UNUSED,,14,,,,,,,,,
AF13,,,VCCAUX,,,,,,,,2.5,,,,
AF14,,,RSVD,,,,,,,,,,,,
AF15,,,TMS_0,,,,,,,,,,,,
AF16,,,TCK_0,,,,,,,,,,,,
AF17,,,VCCINT,,,,,,,,1.0,,,,
AF18,,,GND,,,,,,,,,,,,
AF19,,,VCCINT,,,,,,,,1.0,,,,
AF20,,,GND,,,,,,,,,,,,
AF21,,,VCCINT,,,,,,,,1.0,,,,
AF22,,,GND,,,,,,,,,,,,
AF23,,,VCCINT,,,,,,,,1.0,,,,
AF24,,,GND,,,,,,,,,,,,
AF25,,,VCCINT,,,,,,,,1.0,,,,
AF26,,,GND,,,,,,,,,,,,
AF27,,,VCCINT,,,,,,,,1.0,,,,
AF28,,,GND,,,,,,,,,,,,
AF29,,,RSVD_0,,,,,,,,,,,,
AF30,,,GND,,,,,,,,,,,,
AF31,,IOBS,IO_L5N_SM4N_13,UNUSED,,13,,,,,,,,,
AF32,,IOBM,IO_L5P_SM4P_13,UNUSED,,13,,,,,,,,,
AF33,,,VCCO_13,,,13,,,,,any******,,,,
AF34,,IOBM,IO_L10P_CC_13,UNUSED,,13,,,,,,,,,
AF35,,IOBS,IO_L17N_13,UNUSED,,13,,,,,,,,,
AF36,,IOBM,IO_L17P_13,UNUSED,,13,,,,,,,,,
AF37,,IOBM,IO_L11P_CC_13,UNUSED,,13,,,,,,,,,
AF38,,,GND,,,,,,,,,,,,
AF39,,,GND,,,,,,,,,,,,
AF40,,,MGTAVCCPLL_113,,,,,,,,,,,,
AF41,,OPAD,MGTTXN1_113,UNUSED,,,,,,,,,,,
AF42,,IPAD,MGTRXP1_113,UNUSED,,,,,,,,,,,
AG1,,,GND,,,,,,,,,,,,
AG2,pcie_top_0_pci_exp_1_txp_pin,OPAD,MGTTXP1_114,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
AG3,,,MGTAVTTTX_114,,,,,,,,,,,,
AG4,,,GND,,,,,,,,,,,,
AG5,,,GND,,,,,,,,,,,,
AG6,,IOBM,IO_L7P_14,UNUSED,,14,,,,,,,,,
AG7,,IOBM,IO_L9P_CC_14,UNUSED,,14,,,,,,,,,
AG8,,IOBM,IO_L10P_CC_14,UNUSED,,14,,,,,,,,,
AG9,,IOBS,IO_L8N_CC_14,UNUSED,,14,,,,,,,,,
AG10,,,VCCO_14,,,14,,,,,any******,,,,
AG11,,IOBS,IO_L2N_14,UNUSED,,14,,,,,,,,,
