#Release 13.4 - par O.87xd (lin64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Tue Mar 12 19:24:08 2013

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc5vtx240t
#SPEED GRADE:      -2
#PACKAGE:          ff1759
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AU37,,IOBS,IO_L1N_25,UNUSED,,25,,,,,,,,,
AU38,,,GND,,,,,,,,,,,,
AU39,,,GND,,,,,,,,,,,,
AU40,,,MGTAVCC_121,,,,,,,,,,,,
AU41,,,GND,,,,,,,,,,,,
AU42,,IPAD,MGTRXN1_121,UNUSED,,,,,,,,,,,
AV1,pcie_top_0_pci_exp_5_rxp_pin,IPAD,MGTRXP1_122,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
AV2,pcie_top_0_pci_exp_5_txn_pin,OPAD,MGTTXN1_122,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
AV3,,,MGTAVCCPLL_122,,,,,,,,,,,,
AV4,,,GND,,,,,,,,,,,,
AV5,,,GND,,,,,,,,,,,,
AV6,,,GND,,,,,,,,,,,,
AV7,,IOBS,IO_L11N_CC_26,UNUSED,,26,,,,,,,,,
AV8,,,GND,,,,,,,,,,,,
AV9,,,GND,,,,,,,,,,,,
AV10,,,GND,,,,,,,,,,,,
AV11,,IOBS,IO_L14N_VREF_26,UNUSED,,26,,,,,,,,,
AV12,,,GND,,,,,,,,,,,,
AV13,,IOBS,IO_L18N_30,UNUSED,,30,,,,,,,,,
AV14,,,GND,,,,,,,,,,,,
AV15,,,GND,,,,,,,,,,,,
AV16,,,GND,,,,,,,,,,,,
AV17,,,GND,,,,,,,,,,,,
AV18,,IOBM,IO_L1P_6,UNUSED,,6,,,,,,,,,
AV19,,IOBS,IO_L1N_6,UNUSED,,6,,,,,,,,,
AV20,,IOBM,IO_L9P_CC_6,UNUSED,,6,,,,,,,,,
AV21,,IOBM,IO_L18P_6,UNUSED,,6,,,,,,,,,
AV22,,,GND,,,,,,,,,,,,
AV23,,IOBM,IO_L6P_6,UNUSED,,6,,,,,,,,,
AV24,,IOBM,IO_L2P_6,UNUSED,,6,,,,,,,,,
AV25,,IOBS,IO_L5N_29,UNUSED,,29,,,,,,,,,
AV26,,IOBM,IO_L5P_29,UNUSED,,29,,,,,,,,,
AV27,,,GND,,,,,,,,,,,,
AV28,,,GND,,,,,,,,,,,,
AV29,,,GND,,,,,,,,,,,,
AV30,,IOBS,IO_L16N_29,UNUSED,,29,,,,,,,,,
AV31,,IOBM,IO_L18P_29,UNUSED,,29,,,,,,,,,
AV32,,,GND,,,,,,,,,,,,
AV33,,,GND,,,,,,,,,,,,
AV34,,,GND,,,,,,,,,,,,
AV35,,,GND,,,,,,,,,,,,
AV36,,IOBM,IO_L2P_25,UNUSED,,25,,,,,,,,,
AV37,,,GND,,,,,,,,,,,,
AV38,,,GND,,,,,,,,,,,,
AV39,,,GND,,,,,,,,,,,,
AV40,,,MGTAVCCPLL_121,,,,,,,,,,,,
AV41,,OPAD,MGTTXN1_121,UNUSED,,,,,,,,,,,
AV42,,IPAD,MGTRXP1_121,UNUSED,,,,,,,,,,,
AW1,,,GND,,,,,,,,,,,,
AW2,pcie_top_0_pci_exp_5_txp_pin,OPAD,MGTTXP1_122,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
AW3,,,MGTAVTTTX_122,,,,,,,,,,,,
AW4,,IPAD,MGTREFCLKP_126,UNUSED,,,,,,,,,,,
AW5,,,MGTAVCC_126,,,,,,,,,,,,
AW6,,,GND,,,,,,,,,,,,
AW7,,,GND,,,,,,,,,,,,
AW8,,,GND,,,,,,,,,,,,
AW9,,IPAD,MGTREFCLKP_130,UNUSED,,,,,,,,,,,
AW10,,,GND,,,,,,,,,,,,
AW11,,,GND,,,,,,,,,,,,
AW12,,,GND,,,,,,,,,,,,
AW13,,,GND,,,,,,,,,,,,
AW14,,,GND,,,,,,,,,,,,
AW15,,IPAD,MGTREFCLKP_134,UNUSED,,,,,,,,,,,
AW16,,,GND,,,,,,,,,,,,
AW17,,,GND,,,,,,,,,,,,
AW18,,,GND,,,,,,,,,,,,
AW19,,,GND,,,,,,,,,,,,
AW20,,IOBS,IO_L9N_CC_6,UNUSED,,6,,,,,,,,,
AW21,,IOBM,IO_L16P_6,UNUSED,,6,,,,,,,,,
AW22,,IOBS,IO_L16N_6,UNUSED,,6,,,,,,,,,
AW23,,IOBM,IO_L11P_CC_6,UNUSED,,6,,,,,,,,,
AW24,,,GND,,,,,,,,,,,,
AW25,,,GND,,,,,,,,,,,,
AW26,,,GND,,,,,,,,,,,,
AW27,,,GND,,,,,,,,,,,,
AW28,,IPAD,MGTREFCLKP_133,UNUSED,,,,,,,,,,,
AW29,,,GND,,,,,,,,,,,,
AW30,,,GND,,,,,,,,,,,,
AW31,,,GND,,,,,,,,,,,,
AW32,,,GND,,,,,,,,,,,,
AW33,,,GND,,,,,,,,,,,,
AW34,,IPAD,MGTREFCLKP_129,UNUSED,,,,,,,,,,,
AW35,,,GND,,,,,,,,,,,,
AW36,,,GND,,,,,,,,,,,,
AW37,,,GND,,,,,,,,,,,,
AW38,,,MGTAVCC_125,,,,,,,,,,,,
AW39,,IPAD,MGTREFCLKP_125,UNUSED,,,,,,,,,,,
AW40,,,MGTAVTTTX_121,,,,,,,,,,,,
AW41,,OPAD,MGTTXP1_121,UNUSED,,,,,,,,,,,
AW42,,,GND,,,,,,,,,,,,
AY1,,,GND,,,,,,,,,,,,
AY2,,,MGTAVTTRX_126,,,,,,,,,,,,
AY3,,,GND,,,,,,,,,,,,
AY4,,IPAD,MGTREFCLKN_126,UNUSED,,,,,,,,,,,
AY5,,,MGTAVCCPLL_126,,,,,,,,,,,,
AY6,,,MGTAVTTTX_126,,,,,,,,,,,,
AY7,,,GND,,,,,,,,,,,,
AY8,,,MGTAVTTRX_130,,,,,,,,,,,,
AY9,,IPAD,MGTREFCLKN_130,UNUSED,,,,,,,,,,,
AY10,,,MGTAVCC_130,,,,,,,,,,,,
AY11,,,MGTAVCCPLL_130,,,,,,,,,,,,
AY12,,,MGTAVTTTX_130,,,,,,,,,,,,
AY13,,,GND,,,,,,,,,,,,
AY14,,,MGTAVTTRX_134,,,,,,,,,,,,
AY15,,IPAD,MGTREFCLKN_134,UNUSED,,,,,,,,,,,
AY16,,,MGTAVCC_134,,,,,,,,,,,,
AY17,,,MGTAVCCPLL_134,,,,,,,,,,,,
AY18,,,MGTAVTTTX_134,,,,,,,,,,,,
AY19,,,GND,,,,,,,,,,,,
AY20,,IOBS,IO_L14N_VREF_6,UNUSED,,6,,,,,,,,,
AY21,,,VCCO_6,,,6,,,,,3.30,,,,
AY22,,IOBS,IO_L5N_6,UNUSED,,6,,,,,,,,,
AY23,,IOBS,IO_L11N_CC_6,UNUSED,,6,,,,,,,,,
AY24,,,GND,,,,,,,,,,,,
AY25,,,MGTAVTTTX_133,,,,,,,,,,,,
AY26,,,MGTAVCCPLL_133,,,,,,,,,,,,
AY27,,,MGTAVCC_133,,,,,,,,,,,,
AY28,,IPAD,MGTREFCLKN_133,UNUSED,,,,,,,,,,,
AY29,,,MGTAVTTRX_133,,,,,,,,,,,,
AY30,,,GND,,,,,,,,,,,,
AY31,,,MGTAVTTTX_129,,,,,,,,,,,,
AY32,,,MGTAVCCPLL_129,,,,,,,,,,,,
AY33,,,MGTAVCC_129,,,,,,,,,,,,
AY34,,IPAD,MGTREFCLKN_129,UNUSED,,,,,,,,,,,
AY35,,,MGTAVTTRX_129,,,,,,,,,,,,
AY36,,,GND,,,,,,,,,,,,
AY37,,,MGTAVTTTX_125,,,,,,,,,,,,
AY38,,,MGTAVCCPLL_125,,,,,,,,,,,,
AY39,,IPAD,MGTREFCLKN_125,UNUSED,,,,,,,,,,,
AY40,,,GND,,,,,,,,,,,,
AY41,,,MGTAVTTRX_125,,,,,,,,,,,,
AY42,,,GND,,,,,,,,,,,,
B1,nf10_10g_interface_1_xaui_tx_l2_p_pin,OPAD,MGTTXP1_124,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
B2,nf10_10g_interface_1_xaui_tx_l2_n_pin,OPAD,MGTTXN1_124,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
B3,,,GND,,,,,,,,,,,,
B4,,,GND,,,,,,,,,,,,
B5,nf10_10g_interface_1_xaui_tx_l3_n_pin,OPAD,MGTTXN0_124,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
B6,nf10_10g_interface_1_xaui_tx_l3_p_pin,OPAD,MGTTXP0_124,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
B7,nf10_10g_interface_2_xaui_tx_l0_p_pin,OPAD,MGTTXP1_128,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
B8,nf10_10g_interface_2_xaui_tx_l0_n_pin,OPAD,MGTTXN1_128,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
B9,,,GND,,,,,,,,,,,,
B10,,,GND,,,,,,,,,,,,
B11,nf10_10g_interface_2_xaui_tx_l1_n_pin,OPAD,MGTTXN0_128,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
B12,nf10_10g_interface_2_xaui_tx_l1_p_pin,OPAD,MGTTXP0_128,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
B13,nf10_10g_interface_2_xaui_tx_l2_p_pin,OPAD,MGTTXP1_132,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
B14,nf10_10g_interface_2_xaui_tx_l2_n_pin,OPAD,MGTTXN1_132,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
B15,,,GND,,,,,,,,,,,,
B16,,,GND,,,,,,,,,,,,
B17,nf10_10g_interface_2_xaui_tx_l3_n_pin,OPAD,MGTTXN0_132,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
B18,nf10_10g_interface_2_xaui_tx_l3_p_pin,OPAD,MGTTXP0_132,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
B19,,,GND,,,,,,,,,,,,
B20,,,GND,,,,,,,,,,,,
B21,,IOBM,IO_L11P_CC_7,UNUSED,,7,,,,,,,,,
B22,,IOBM,IO_L8P_CC_7,UNUSED,,7,,,,,,,,,
B23,,IOBS,IO_L8N_CC_7,UNUSED,,7,,,,,,,,,
B24,,,GND,,,,,,,,,,,,
B25,nf10_10g_interface_3_xaui_tx_l0_p_pin,OPAD,MGTTXP0_131,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
B26,nf10_10g_interface_3_xaui_tx_l0_n_pin,OPAD,MGTTXN0_131,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
B27,,,GND,,,,,,,,,,,,
B28,,,GND,,,,,,,,,,,,
B29,nf10_10g_interface_3_xaui_tx_l1_n_pin,OPAD,MGTTXN1_131,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
B30,nf10_10g_interface_3_xaui_tx_l1_p_pin,OPAD,MGTTXP1_131,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
B31,nf10_10g_interface_3_xaui_tx_l2_p_pin,OPAD,MGTTXP0_127,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
B32,nf10_10g_interface_3_xaui_tx_l2_n_pin,OPAD,MGTTXN0_127,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
B33,,,GND,,,,,,,,,,,,
B34,,,GND,,,,,,,,,,,,
B35,nf10_10g_interface_3_xaui_tx_l3_n_pin,OPAD,MGTTXN1_127,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
B36,nf10_10g_interface_3_xaui_tx_l3_p_pin,OPAD,MGTTXP1_127,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
B37,,OPAD,MGTTXP0_123,UNUSED,,,,,,,,,,,
B38,,OPAD,MGTTXN0_123,UNUSED,,,,,,,,,,,
B39,,,GND,,,,,,,,,,,,
B40,,,GND,,,,,,,,,,,,
B41,,OPAD,MGTTXN1_123,UNUSED,,,,,,,,,,,
B42,,OPAD,MGTTXP1_123,UNUSED,,,,,,,,,,,
BA1,pcie_top_0_pci_exp_6_txp_pin,OPAD,MGTTXP0_126,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
BA2,pcie_top_0_pci_exp_6_txn_pin,OPAD,MGTTXN0_126,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
BA3,,,GND,,,,,,,,,,,,
BA4,,,GND,,,,,,,,,,,,
BA5,pcie_top_0_pci_exp_7_txn_pin,OPAD,MGTTXN1_126,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
BA6,pcie_top_0_pci_exp_7_txp_pin,OPAD,MGTTXP1_126,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
BA7,,OPAD,MGTTXP0_130,UNUSED,,,,,,,,,,,
BA8,,OPAD,MGTTXN0_130,UNUSED,,,,,,,,,,,
BA9,,,GND,,,,,,,,,,,,
BA10,,,GND,,,,,,,,,,,,
BA11,,OPAD,MGTTXN1_130,UNUSED,,,,,,,,,,,
BA12,,OPAD,MGTTXP1_130,UNUSED,,,,,,,,,,,
BA13,,OPAD,MGTTXP0_134,UNUSED,,,,,,,,,,,
BA14,,OPAD,MGTTXN0_134,UNUSED,,,,,,,,,,,
BA15,,,GND,,,,,,,,,,,,
BA16,,,GND,,,,,,,,,,,,
BA17,,OPAD,MGTTXN1_134,UNUSED,,,,,,,,,,,
BA18,,OPAD,MGTTXP1_134,UNUSED,,,,,,,,,,,
BA19,,,GND,,,,,,,,,,,,
BA20,,IOBM,IO_L14P_6,UNUSED,,6,,,,,,,,,
BA21,,IOBM,IO_L5P_6,UNUSED,,6,,,,,,,,,
BA22,,IOBM,IO_L3P_6,UNUSED,,6,,,,,,,,,
BA23,,,GND,,,,,,,,,,,,
BA24,,,GND,,,,,,,,,,,,
BA25,,OPAD,MGTTXP1_133,UNUSED,,,,,,,,,,,
BA26,,OPAD,MGTTXN1_133,UNUSED,,,,,,,,,,,
BA27,,,GND,,,,,,,,,,,,
BA28,,,GND,,,,,,,,,,,,
BA29,,OPAD,MGTTXN0_133,UNUSED,,,,,,,,,,,
BA30,,OPAD,MGTTXP0_133,UNUSED,,,,,,,,,,,
BA31,,OPAD,MGTTXP1_129,UNUSED,,,,,,,,,,,
BA32,,OPAD,MGTTXN1_129,UNUSED,,,,,,,,,,,
BA33,,,GND,,,,,,,,,,,,
BA34,,,GND,,,,,,,,,,,,
BA35,,OPAD,MGTTXN0_129,UNUSED,,,,,,,,,,,
BA36,,OPAD,MGTTXP0_129,UNUSED,,,,,,,,,,,
BA37,,OPAD,MGTTXP1_125,UNUSED,,,,,,,,,,,
BA38,,OPAD,MGTTXN1_125,UNUSED,,,,,,,,,,,
BA39,,,GND,,,,,,,,,,,,
BA40,,,GND,,,,,,,,,,,,
BA41,,OPAD,MGTTXN0_125,UNUSED,,,,,,,,,,,
BA42,,OPAD,MGTTXP0_125,UNUSED,,,,,,,,,,,
BB2,pcie_top_0_pci_exp_6_rxp_pin,IPAD,MGTRXP0_126,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
BB3,pcie_top_0_pci_exp_6_rxn_pin,IPAD,MGTRXN0_126,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
BB4,pcie_top_0_pci_exp_7_rxn_pin,IPAD,MGTRXN1_126,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
BB5,pcie_top_0_pci_exp_7_rxp_pin,IPAD,MGTRXP1_126,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
BB6,,,GND,,,,,,,,,,,,
BB7,,,GND,,,,,,,,,,,,
BB8,,IPAD,MGTRXP0_130,UNUSED,,,,,,,,,,,
BB9,,IPAD,MGTRXN0_130,UNUSED,,,,,,,,,,,
BB10,,IPAD,MGTRXN1_130,UNUSED,,,,,,,,,,,
BB11,,IPAD,MGTRXP1_130,UNUSED,,,,,,,,,,,
BB12,,,GND,,,,,,,,,,,,
BB13,,,GND,,,,,,,,,,,,
BB14,,IPAD,MGTRXP0_134,UNUSED,,,,,,,,,,,
BB15,,IPAD,MGTRXN0_134,UNUSED,,,,,,,,,,,
BB16,,IPAD,MGTRXN1_134,UNUSED,,,,,,,,,,,
BB17,,IPAD,MGTRXP1_134,UNUSED,,,,,,,,,,,
BB18,,,GND,,,,,,,,,,,,
BB19,,,GND,,,,,,,,,,,,
BB20,,,GND,,,,,,,,,,,,
BB21,RS232_Uart_1_sout,IOB,IO_L3N_6,OUTPUT,LVCMOS33,6,12,SLOW,,,,LOCATED,YES,NONE,
BB22,,IOBM,IO_L4P_6,UNUSED,,6,,,,,,,,,
BB23,RS232_Uart_1_sin,IOB,IO_L4N_VREF_6,INPUT,LVCMOS33,6,,,,NONE,,LOCATED,YES,NONE,
BB24,,,GND,,,,,,,,,,,,
BB25,,,GND,,,,,,,,,,,,
BB26,,IPAD,MGTRXP1_133,UNUSED,,,,,,,,,,,
BB27,,IPAD,MGTRXN1_133,UNUSED,,,,,,,,,,,
BB28,,IPAD,MGTRXN0_133,UNUSED,,,,,,,,,,,
BB29,,IPAD,MGTRXP0_133,UNUSED,,,,,,,,,,,
BB30,,,GND,,,,,,,,,,,,
BB31,,,GND,,,,,,,,,,,,
BB32,,IPAD,MGTRXP1_129,UNUSED,,,,,,,,,,,
BB33,,IPAD,MGTRXN1_129,UNUSED,,,,,,,,,,,
BB34,,IPAD,MGTRXN0_129,UNUSED,,,,,,,,,,,
BB35,,IPAD,MGTRXP0_129,UNUSED,,,,,,,,,,,
BB36,,,GND,,,,,,,,,,,,
BB37,,,GND,,,,,,,,,,,,
BB38,,IPAD,MGTRXP1_125,UNUSED,,,,,,,,,,,
BB39,,IPAD,MGTRXN1_125,UNUSED,,,,,,,,,,,
BB40,,IPAD,MGTRXN0_125,UNUSED,,,,,,,,,,,
BB41,,IPAD,MGTRXP0_125,UNUSED,,,,,,,,,,,
C1,,,MGTAVTTTX_124,,,,,,,,,,,,
C2,,,MGTAVCCPLL_124,,,,,,,,,,,,
C3,refclk_B_n,IPAD,MGTREFCLKN_124,INPUT,,,,,,NONE,,LOCATED,NO,NONE,
C4,refclk_B_p,IPAD,MGTREFCLKP_124,INPUT,,,,,,NONE,,LOCATED,NO,NONE,
C5,,,MGTAVTTRX_124,,,,,,,,,,,,
C6,,,GND,,,,,,,,,,,,
C7,,,MGTAVTTTX_128,,,,,,,,,,,,
C8,,,MGTAVCCPLL_128,,,,,,,,,,,,
C9,,,MGTAVCC_128,,,,,,,,,,,,
C10,,IPAD,MGTREFCLKN_128,UNUSED,,,,,,,,,,,
C11,,,MGTAVTTRX_128,,,,,,,,,,,,
C12,,,GND,,,,,,,,,,,,
C13,,,MGTAVTTTX_132,,,,,,,,,,,,
C14,,,MGTAVCCPLL_132,,,,,,,,,,,,
C15,,,MGTAVCC_132,,,,,,,,,,,,
C16,refclk_C_n,IPAD,MGTREFCLKN_132,INPUT,,,,,,NONE,,LOCATED,NO,NONE,
C17,,,MGTAVTTRX_132,,,,,,,,,,,,
C18,,,GND,,,,,,,,,,,,
C19,,,GND,,,,,,,,,,,,
C20,,IOBS,IO_L12N_VRP_7,UNUSED,,7,,,,,,,,,
C21,,IOBM,IO_L6P_7,UNUSED,,7,,,,,,,,,
C22,,,VCCO_7,,,7,,,,,any******,,,,
C23,,IOBS,IO_L4N_VREF_7,UNUSED,,7,,,,,,,,,
C24,,,GND,,,,,,,,,,,,
C25,,,GND,,,,,,,,,,,,
C26,,,MGTAVTTRX_131,,,,,,,,,,,,
C27,refclk_D_n,IPAD,MGTREFCLKN_131,INPUT,,,,,,NONE,,LOCATED,NO,NONE,
C28,,,MGTAVCC_131,,,,,,,,,,,,
C29,,,MGTAVCCPLL_131,,,,,,,,,,,,
C30,,,MGTAVTTTX_131,,,,,,,,,,,,
C31,,,GND,,,,,,,,,,,,
C32,,,MGTAVTTRX_127,,,,,,,,,,,,
C33,,IPAD,MGTREFCLKN_127,UNUSED,,,,,,,,,,,
C34,,,MGTAVCC_127,,,,,,,,,,,,
C35,,,MGTAVCCPLL_127,,,,,,,,,,,,
C36,,,MGTAVTTTX_127,,,,,,,,,,,,
C37,,,GND,,,,,,,,,,,,
C38,,,MGTAVTTRX_123,,,,,,,,,,,,
C39,,IPAD,MGTREFCLKP_123,UNUSED,,,,,,,,,,,
C40,,IPAD,MGTREFCLKN_123,UNUSED,,,,,,,,,,,
C41,,,MGTAVCCPLL_123,,,,,,,,,,,,
C42,,,MGTAVTTTX_123,,,,,,,,,,,,
D1,,,GND,,,,,,,,,,,,
D2,nf10_10g_interface_1_xaui_tx_l1_p_pin,OPAD,MGTTXP0_120,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
D3,,,GND,,,,,,,,,,,,
D4,,,MGTAVCC_124,,,,,,,,,,,,
D5,,,GND,,,,,,,,,,,,
D6,,,GND,,,,,,,,,,,,
D7,,,GND,,,,,,,,,,,,
D8,,,GND,,,,,,,,,,,,
D9,,,GND,,,,,,,,,,,,
D10,,IPAD,MGTREFCLKP_128,UNUSED,,,,,,,,,,,
D11,,,GND,,,,,,,,,,,,
D12,,,GND,,,,,,,,,,,,
D13,,,GND,,,,,,,,,,,,
D14,,,GND,,,,,,,,,,,,
D15,,,GND,,,,,,,,,,,,
D16,refclk_C_p,IPAD,MGTREFCLKP_132,INPUT,,,,,,NONE,,LOCATED,NO,NONE,
D17,,,GND,,,,,,,,,,,,
D18,,,GND,,,,,,,,,,,,
D19,,,GND,,,,,,,,,,,,
D20,,IOBM,IO_L12P_VRN_7,UNUSED,,7,,,,,,,,,
D21,,IOBS,IO_L6N_7,UNUSED,,7,,,,,,,,,
D22,,IOBM,IO_L4P_7,UNUSED,,7,,,,,,,,,
D23,,IOBM,IO_L3P_7,UNUSED,,7,,,,,,,,,
D24,,,GND,,,,,,,,,,,,
D25,,,GND,,,,,,,,,,,,
D26,,,GND,,,,,,,,,,,,
D27,refclk_D_p,IPAD,MGTREFCLKP_131,INPUT,,,,,,NONE,,LOCATED,NO,NONE,
D28,,,GND,,,,,,,,,,,,
D29,,,GND,,,,,,,,,,,,
D30,,,GND,,,,,,,,,,,,
D31,,,GND,,,,,,,,,,,,
D32,,,GND,,,,,,,,,,,,
D33,,IPAD,MGTREFCLKP_127,UNUSED,,,,,,,,,,,
D34,,,GND,,,,,,,,,,,,
D35,,,GND,,,,,,,,,,,,
D36,,,GND,,,,,,,,,,,,
D37,,,GND,,,,,,,,,,,,
D38,,,GND,,,,,,,,,,,,
D39,,,MGTAVCC_123,,,,,,,,,,,,
D40,,,GND,,,,,,,,,,,,
D41,,OPAD,MGTTXP0_119,UNUSED,,,,,,,,,,,
D42,,,GND,,,,,,,,,,,,
E1,nf10_10g_interface_1_xaui_rx_l1_p_pin,IPAD,MGTRXP0_120,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
E2,nf10_10g_interface_1_xaui_tx_l1_n_pin,OPAD,MGTTXN0_120,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
E3,,,MGTAVTTRX_120,,,,,,,,,,,,
E4,,,GND,,,,,,,,,,,,
E5,,,GND,,,,,,,,,,,,
E6,,,GND,,,,,,,,,,,,
E7,,IOBM,IO_L3P_24,UNUSED,,24,,,,,,,,,
E8,,IOBS,IO_L3N_24,UNUSED,,24,,,,,,,,,
E9,,,GND,,,,,,,,,,,,
E10,,,GND,,,,,,,,,,,,
E11,,,GND,,,,,,,,,,,,
E12,,IOBM,IO_L4P_28,UNUSED,,28,,,,,,,,,
E13,,IOBS,IO_L4N_VREF_28,UNUSED,,28,,,,,,,,,
E14,,IOBM,IO_L15P_28,UNUSED,,28,,,,,,,,,
E15,,,GND,,,,,,,,,,,,
E16,,,GND,,,,,,,,,,,,
E17,,,GND,,,,,,,,,,,,
E18,,IOBS,IO_L14N_VREF_5,UNUSED,,5,,,,,,,,,
E19,,IOBM,IO_L14P_5,UNUSED,,5,,,,,,,,,
E20,,IOBM,IO_L1P_5,UNUSED,,5,,,,,,,,,
E21,,,GND,,,,,,,,,,,,
E22,,IOBS,IO_L3N_7,UNUSED,,7,,,,,,,,,
E23,,IOBS,IO_L17N_7,UNUSED,,7,,,,,,,,,
E24,,IOBM,IO_L17P_7,UNUSED,,7,,,,,,,,,
E25,,IOBS,IO_L19N_7,UNUSED,,7,,,,,,,,,
E26,,,GND,,,,,,,,,,,,
E27,,,GND,,,,,,,,,,,,
E28,,,GND,,,,,,,,,,,,
E29,,IOBM,IO_L16P_27,UNUSED,,27,,,,,,,,,
E30,,IOBS,IO_L14N_VREF_27,UNUSED,,27,,,,,,,,,
E31,,,GND,,,,,,,,,,,,
E32,,,GND,,,,,,,,,,,,
E33,,,GND,,,,,,,,,,,,
E34,,,GND,,,,,,,,,,,,
E35,,IOBS,IO_L4N_VREF_27,UNUSED,,27,,,,,,,,,
E36,,IOBM,IO_L4P_27,UNUSED,,27,,,,,,,,,
E37,,IOBM,IO_L6P_27,UNUSED,,27,,,,,,,,,
E38,,,GND,,,,,,,,,,,,
E39,,,GND,,,,,,,,,,,,
E40,,,MGTAVTTRX_119,,,,,,,,,,,,
E41,,OPAD,MGTTXN0_119,UNUSED,,,,,,,,,,,
E42,,IPAD,MGTRXP0_119,UNUSED,,,,,,,,,,,
F1,nf10_10g_interface_1_xaui_rx_l1_n_pin,IPAD,MGTRXN0_120,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
F2,,,GND,,,,,,,,,,,,
F3,,IPAD,MGTREFCLKN_120,UNUSED,,,,,,,,,,,
F4,,IPAD,MGTREFCLKP_120,UNUSED,,,,,,,,,,,
F5,,,GND,,,,,,,,,,,,
F6,,IOBS,IO_L5N_24,UNUSED,,24,,,,,,,,,
F7,,,VCCO_24,,,24,,,,,any******,,,,
F8,,,GND,,,,,,,,,,,,
F9,,IOBS,IO_L0N_28,UNUSED,,28,,,,,,,,,
F10,,IOBM,IO_L0P_28,UNUSED,,28,,,,,,,,,
F11,,IOBS,IO_L2N_28,UNUSED,,28,,,,,,,,,
F12,,IOBS,IO_L11N_CC_28,UNUSED,,28,,,,,,,,,
F13,,,VCCO_28,,,28,,,,,any******,,,,
F14,,IOBS,IO_L15N_28,UNUSED,,28,,,,,,,,,
F15,,IOBM,IO_L17P_28,UNUSED,,28,,,,,,,,,
F16,,IOBS,IO_L16N_5,UNUSED,,5,,,,,,,,,
F17,,IOBM,IO_L16P_5,UNUSED,,5,,,,,,,,,
F18,,,GND,,,,,,,,,,,,
F19,,IOBM,IO_L5P_5,UNUSED,,5,,,,,,,,,
F20,,IOBS,IO_L1N_5,UNUSED,,5,,,,,,,,,
F21,,IOBM,IO_L9P_CC_7,UNUSED,,7,,,,,,,,,
F22,,IOBM,IO_L5P_7,UNUSED,,7,,,,,,,,,
F23,,,VCCO_7,,,7,,,,,any******,,,,
F24,,IOBS,IO_L13N_7,UNUSED,,7,,,,,,,,,
F25,,IOBM,IO_L19P_7,UNUSED,,7,,,,,,,,,
F26,,IOBM,IO_L8P_CC_5,UNUSED,,5,,,,,,,,,
F27,,IOBS,IO_L13N_5,UNUSED,,5,,,,,,,,,
F28,,,GND,,,,,,,,,,,,
F29,,IOBS,IO_L16N_27,UNUSED,,27,,,,,,,,,
F30,,IOBM,IO_L14P_27,UNUSED,,27,,,,,,,,,
